song_id,title,release,artist_name,year
SOJJAZT12AC4687219,"Autumn In The Mind (Acoustic Version)","Lo Fi_ Acoustic Excursions","Mike Badger and Friends",0
SOMLHJQ12AC4685B45,Tequila,"Tequila il mambo del giubileo (12 Inc)",Piotta,0
SOYNOIK12A6D4F7F3F,"All For A Purpose (Speak Life Album Version)","Speak Life","Sev Statik",0
SOPUJOM12AB017FEEB,"C On","C On","The Advent",0
SOGNNYL12A6D4F910B,"Raspberry Beret (LP Version)","The Hits/The B-Sides","Prince & The Revolution",0
SOOLRHW12A8C142643,"All of the same blood","Violent revolution",Kreator,2001
SOMKNZS12A8C13DEBC,"One Little Too Little","Hall Of Fame","Hall Of Fame",1996
SOYKVON12A8C14097E,"Cockleshell Heroes","Classic Years","Frank Chacksfield",2007
SOEXAWC12AB01817E6,Trancesequence,Voyage,Voyage,0
SOKQCDA12A6D4FA556,"Wonderful Stash","TRANCE VISIONARY","Wishbone Ash",1998
SOFWVLR12A8C1328DC,"La filo","Le meilleur",Malavoi,0
SOLRKBF12A8C13C88A,"Throw It Away","Easy Listening","Cobra Verde",2003
SOBDLRM12A8C13A0AC,"Before He Kissed Me","Lisa Brokop","Lisa Brokop",0
SOMXBRA12AB017C656,Blessed,Rejoice,"The Emotions",1977
SODJAOH12A58A77B23,"Goa Amsterdam","B.P.M. - Bionic Pulse Method Vol. 3","Safi Connection",0
SOCPTIN12A8C14265F,"Disaster [Demo Version]","Fragile Future","Hawthorne Heights",2008
SODVOFJ12AB0181EE6,"Night And Day","The Best Of","The Maytals",1994
SODDEQU12AAF3B2FC8,Passione,"Alla Fine Della Notte",Neffa,2007
SONYUEW12AB018B373,"My Everything [Screwed] (feat. Trae The Truth)","[Screwed] Tha Flood - Swishahouse Mix","Lil O",0
SOWWQXA12A81C1F9CA,Scream,"Devil's Playground","Billy Idol",2005
SONNHYN12AB018538B,"The Man Delusion","The Man Delusion","The Vichy Government",0
SOCWWYB12A6D4F9AF4,"He Is Not Silent (Out Of The Grey Album Version)","The Early Years","Out Of The Grey",0
SOIRTNX12AB018B41D,"Pepe El Mañoso","Salsa Cubana Vol.6","Orquesta Sonara La Habana",0
SOLGCKQ12A8AE47CFA,"Acércate Más","Éxitos Del Romántico De Siempre","Leo Marini",0
SOZOAEF12AB017F0A9,"Mule Boogie","Country & Western","Sheb Wooley",1993
SOHMYGC12A6D4FAC4B,"Dancing In The Dark","The Look Of Love","Diana Krall",2001
SOHSSPG12A8C144BE0,"Mad About You","Change of Heart","Clifford T. Ward",2003
SOCBSOR12A8C1314DD,Heartaches,"Just Kiddin' Around","Ray Conniff;Billy Butterfield",0
SOOKLXI12A8C142FB0,"Pain Over Acceptance",Unforgivable,"Weekend Nachos",0
SOYMTVV12A58A7C2D6,"Ships That Don't Come In","The Ultimate Hits","Joe Diffie",1992
SODQHXQ12AB0189AE0,"Saturday Night  (LP Version)","Rick Medlocke & Blackfoot",Blackfoot,0
SOFSJXP12AB017E676,"I Just Want To Be With You This Christmas","My Christmas","Katie Armiger",0
SOHGZWM12AAA8C86EA,"On the Surface","Songs for the Incurable Heart",Stemm,2005
SOLBDWO12AB0188CC2,"Remember (Walking In The Sand)","Night In The Ruts",Aerosmith,1979
SOUHTYT12AB0189D1C,"Just Another Woman","Singin' The Blues","Hot Lips Page",0
SOVUFFC12AC9E16242,untitled,Amaterasu,"David Fridlund",2004
SOEBDKM12AC4686D3A,Bakslag,"Om Gaia",Kultiration,2004
SOPJNRJ12A8C1461C4,"The New Way","Radio Ixtlan",Ewigkeit,2004
SOUVPJZ12AB018218C,Suffer,"In My Own Cage","JOHN DOE",0
SONUZSW12AAA15EA65,"Cités dortoires (feat. 59 Grammes)","Rakailles 4","Alpha 5.20",0
SOGBBEE12AB017ED6A,"Bring It",Unspoken,Tonex,0
SOPBCNI12AF729FE49,"You And I","Shine Through The Stars",Chasen,2008
SOYKRSW12AB018078B,"Sitting In My Window (Finis Tasby BMI)","What My Blues Are All About","Finis Tasby",0
SORASFZ12AB01828C7,"Raid The Itch","Black Label #57","Ogris Debris",0
SOVOIOQ12AC4688FAC,"The Rest of the Night","The Wind","Warren Zevon",2003
SOXAGQZ12AB018A089,Ride,Orion,"Andrea Klas",0
SOLFMLX12AB0186EB5,"Passion Protein","This Is Our Art","The Soup Dragons",1988
SOSNKHA12AB0185BD6,Redemption,"Write This Down","Write This Down",2010
SOLOUIH12AB018146C,"Dame Tus  Besos","Radio Macandé","Radio Macandé",0
SOKWWCO12AB0187D70,"Don't Prolong the Agony (Bonus Track)",Touchpaper,"Claire Hamill",0
SODXEOD12AB018EC03,"Dalny svet (bonus 2003)",Kruiz-1,Kruiz,0
SONHPZT12AC90970C3,"Alice in Wonderland: Act I: The Caucus Race","DAVIS_ C.: Alice in Wonderland [Ballet] (Prague City Philharmonic_ Davis)","Carl Davis",0
SOHQYYJ12AB0183B6D,"Le mauvais coton","Dévaste-Moi","Brigitte Fontaine",1990
SOIOKZN12AB01857C2,"Love Can Change feat. Nadine Sutherland","Fatis Presents Abijah",Abijah,0
SOMPUGR12A8C146F57,Subtek,"Tone Tales From Tomorrow",Hex,0
SODMDUM12A6D4FCEE4,"Dream Of Love","Lost In Paradise",X-Perience,2006
SONVYNC12AB0184ECC,"Lucy Fears the Morning Star","Sing-Along Songs for the Damned and Delirious","Diablo Swing Orchestra",2009
SOPHQEL12A8C1357CC,"Fool on the Hill","English Guitar Music","John Williams",0
SOLQULR12AB018D726,"Baiting the Public","Hidden World","Fucked Up",2006
SOKXBTF12A6BD4F3AD,"Death Acceptor",TheBloodyTransylvaniaStreetMachine,Drexel,0
SOPFHPD12A8C1407F6,Wipeout,"100 Years of Surfing","The Surfaris",1988
SOORUNH12AB0182395,"Fick uns","Die besten Tage sind gezählt","Kool Savas",0
SOAOSWS12AB0189131,"Wir Sind Die Jungs feat. Din & Smexer","Blackbooked No. 2 - Jung_ schön und stylish","Prinz Porno",0
SOYTTYG12AB017F85E,"Make Dat Monet",Aristocrunk,"Lord T & Eloise",0
SOUIUYF12AC3DF998F,"Two Legged Sheep","Ain't Crying for the Moon","Kingdom Come",2006
SOJGKAD12A58A7D1FF,"Chi Sei Adesso","4 x 4","Gemelli Diversi",2009
SOCKLYJ12A8C14017E,"Stuck On My Vision",Outrageous,"Alice In Videoland",2005
SOMOSWT12AB017CD5A,"Joku muu",Galaksi,"Kristian Meurman",2009
SOUKOKB12AB018A808,"Whaleface (Instrumental)","Felt 3: A Tribute To Rosie Perez [Instrumentals & Acapellas]",Felt,0
SOJLGRD12AB018724F,"Brown Paper Bag","Time Flies When You're Gangster Fun","Gangster Fun",1992
SOZTLAR12A8C1368A9,"You Needed Me","Wind Beneath My Wings","Roger Whittaker",1994
SOIOAQZ12A8AE472A2,"Pacey Singer","Third Hand Prophecy",A.Human,2008
SOLTAUK12A8AE4611F,Superstition,"Halloween Classics: Hellbent For Halloween","Beck_ Bogert_ Appice",0
SOPRQGM12A58A784F1,Ride,Ride,"Tiësto",2006
SOADQCE12A6D4F64B3,"Endangered Species (Tales From The Darkside) (Remix) (Explicit) (Feat. Chuck D)","AmeriKKKa's Most Wanted (Explicit)","Ice Cube Featuring Chuck D",0
SOOWUDY12A6D4FA0B0,"Summer Of My Life","Charcoal Lane","Archie Roach",1990
SODSOYL12A6D4F5B39,"Foggy Mountain Breakdown","The Complete Mercury Recordings","Lester Flatt / Earl Scruggs / The Foggy Mountain Boys",0
SOMLQLS12A8C13D138,"Sonata No. 10 Op. 70","Scriabin - Piano Works","Mikhail Pletnev",0
SOKQPKX12A6D4FAC5B,"Red Ramona","Shake And Play","Janette Slack",0
SOFKEUC12A6D4F4C3F,"What Matters Is Just You",Aire/Invisible,"Luis Eduardo Aute",0
SOPXLUV12AB018128F,"Southern Comfort","One Step Forward","Lonesome River Band",0
SOOIKJH12A6D4F6454,"Something From Nothing","Friendship Forever",Retard-O-Bot,2005
SOXXJGW12AAF3B58CF,"Half Light","The Other Coast","Michael Whalen",0
SOBGKMC12A8C137FE0,"Bonus Track","Spirit Of '94",Kaze,0
SOKAWDI12A6D4FA72F,"High Low And In Between","Country Linedancing","Mark Wills",1996
SOWGQLY12AAF3B47D9,Detalles,"En Vivo","Roberto Carlos",1990
SOGXPYA12A58A769A7,"Rock Can't Last Forever  (You Hate Me Hate Music Album Version)","You Make Me Hate Music","Fine China",2002
SOHNWIM12A67ADF7D9,"Get Along (Feat: Pace Won) (Instrumental)",Charango,Morcheeba,2002
SOHCDDC12AB018B206,Caravan,"Greatest Hits Of Richard ""Groove"" Holmes","Richard ""Groove"" Holmes",0
SOAAQWU12A8C13F908,"Just Is","What Sound",Lamb,0
SOTOTTC12A8C142727,"The Life That I Never Had","The Life That I Never Had",Sektosixo,0
SOELTOP12AAFF415CF,"Inside Your Dreams","Inside Your Dreams","DJ Markitos",2003
SOSNZGD12A582A2624,"Hot (Album Version)","Milk Me  [Amended Version]","The Beatnuts",0
SOFCGTP12A8C140A93,"Have It All","Euphonic 10 Years","Ronski Speed presents Sun Decade",0
SOQAWRX12A8C140FB3,"Words - Re-Recording","Jeannie C. Riley Selected Hits","Jeannie C. Riley",0
SOECFIW12A8C144546,Viejo,Caraluna,Bacilos,0
SOGHBFO12AB017C407,"Victims of the Riddle [Vivisection]","Sheep Farming In Barnet",Toyah,1979
SOCFEYX12AB0185304,"Kama Sutra","Kama Sutra","The Wolfmen",0
SOIJRWP12A8C13E78D,"E non lo scorderò","I successi di Fausto Leali","Fausto Leali",0
SOYFPHJ12A8C13C2B2,"What Can I Do?","17 Reasons","Link 80",1997
SOUMNSI12AB0182807,"Whats up with the Underground",EP2,Linkwood,0
SOMLVLH12AC3DF9CCD,"Pacific Sunrise",Freetime,"Spyro Gyra",1981
SOEXXWL12AB0189326,Gnostalgia,Sacrament,"White Willow",2000
SOAHCHL12A8C13C8C5,"Sin Sin Sin (Sentience Loney Mix)","Sin Sin Sin","Robbie Williams",2006
SOHMXUE12AB018676C,Bihac,Maschinensturm,"Prager Handgriff",1995
SOLLEAB12AB017DC60,"Hard Life Feat Raw Breed","Operation Infinite Grit","Marc Live",0
SOLTFTE12A8C13718B,"Memories Of Love - Original Mix","Galaxy EP","Paul Miller",0
SOIOVEM12A8C13D837,"Praise_ My Soul_ The King Of Heaven",Hymn,"American Boychoir",0
SOXIARP12AB018492E,"Edward Smith","Black Umbrella","Thought Industry",1997
SOSTYVO12AC907117C,"Dark Country","Breaking In An Angel","Red Animal War",0
SOHVRGJ12AB01826FE,"Highway Paved With Pain","Old Country Town","Lonesome River Band",2007
SODRTHY12AB018FB3B,"End Of The Beginning (Album Version)",Perspective,"Jason Becker",0
SOARKPN12AB018A3F1,Britannia,"Love U More: The Very Best Of",Sunscreem,2009
SOVGOBZ12AB0185AB0,"I'm About To Do Something (That I'm Gonna Regret)","Chrome Tape",Motormark,2004
SOBBODD12A8C13FFA0,"Ring Road","Ring Road",Underworld,2007
SOJKQRQ12AB01804A5,"LEsperanza","The Very Best of Euphoric Dance Breakdown 2009",Airscape,0
SOKFTXQ12AB018C33A,"That Crutch","So Many Roads","Neal Morse",2007
SOGWEOB12AB018A4D0,"I Say A Little Prayer","The Legendary Hi Records Albums_ Volume 3: Full Of Fire + Have A Good Time + The Belle Album + Truth n Time","Al Green",1978
SOIHJKI12A8C13D474,"Dawning Star","Double Negative","The Muffins",0
SOFMVOA12AB018240A,Irreplaceable,"Get Your Stereo Deluxed Vol. 6","The Funky Lowlives",2002
SOCELXR12AB017EB1B,AcroyearII,LP5,Autechre,1998
SOBAHCX12AB0183F7A,"And Then You Went Away",Resurrection,"Brian Vander Ark",2004
SOINLLV12A6D4FBB05,"You Don't Know What You're Doing","Loose Tonight","Debbie Davies",0
SOBHUSK12AB0187786,"Touched (Intro: From 'That Winter' By Pamela Gillilan)",Ignorance,"Boo Hewerdine",0
SOPNAOX12A6D4F85AF,Day,"Brave Murder Day",Katatonia,1996
SOIGUQJ12A6D4FAB11,"En oo koskaan tavannut","Helvetisti järkeä","Zen Cafe",2001
SOJUTQH12A8C13D5F3,"B15 Apna Sangheet Sings Apna Sangsheet_ Ruled By The Mob",Minesweeper,"DJ Rupture",0
SOXDQGB12AB018AC90,"Militant Musicfreaks","The Never Ending Story",Warlocks,0
SOSUDKY12AC3DFA679,"The Color Of The Water / Dreaming Of The Future","Sea Of Dreams","Luis Bacalov",2007
SOUGJMK12AB018852E,"Nothing More to Say","Sounds of an Amateur",AJP,0
SOPZPJR12AB0180ED3,"Rock'n'roll vengeance","As-tu déjà oublié?","La Souris Déglinguée",2003
SOMPTDS12A8C13AC1D,"Qui ? (version baba cool)","Ma Grand-Mère","Mickey 3D",2002
SOENBNC12A8C1326F6,"Four Horses","God's Tattoos","William Lee Ellis",0
SOCEXXJ12AB0185239,"Laurie Ann","Glen Rocks","Glen Glenn",2000
SOIYPRW12AB018669D,"Näckaspel","Visor från vinden (Bonus Version)","Sofia Karlsson",2007
SOHLMBQ12AC961881F,"Get Up (Club Mix)","The Great Bouzouki / Get Up","Krid P",0
SOPDAZL12A58A7CAE5,"Melodia Do Amor","Bis - Jovem Guarda","Golden Boys",0
SOUMLGC12A6D4F9C32,"Whatcha Gonna Do When Your Number's Up?   (The Best We Could Find Album Version)","The Best We Could Find","STEVE TAYLOR",0
SOVECZJ12AB01828DB,"Waste of Time","Tried & True",Junkyard,0
SOVVXOO12A8C13AED8,"Deep in the night","Deep in the night",JK,0
SOWKZGU12AF72A2B4A,Skase,"Christos Dantis Best","Christos Dantis",0
SOAGUGD12A8C13FB69,"Make Her Feel Good","Roc-A-Fella Records Presents Teairra Marí","Teairra Marí",2005
SOOEDWI12A58A7B1C4,"Radio Was Unplugged","Dinosaurs Turn Into Birds","Silent Kids",0
SOJEBYC12A6310E031,"Margaret On The Guillotine (LP Version)","Viva Hate",Morrissey,1988
SOJGCRL12A8C144187,"At the Ball_ That's All","Best of Laurel & Hardy - The Lonesome Pine","Laurel & Hardy",0
SOQPSNZ12A8AE44A95,"Presence Of The Dead (Album Version)","Testimony Of The Ancients",Pestilence,0
SOGUUQT12A8C13599E,"The Art of the Fugue_ BWV 1080/Contrapunctus XIV","Bach:  The Art of the Fugue","Juilliard String Quartet",0
SOJJMAE12A8C135E68,"Love Has A Diameter",Puzzle,"Biffy Clyro",2007
SONQPBR12AB0187DD8,Communion,"The phuture that never happened","Mental Overdrive",1991
SODLNNU12A8AE475B5,"No quarter","Garbage daze re-regurgitated",Exhumed,0
SONTDUZ12D021989FD,Rowboat,Unchained,"Johnny Cash",1996
SOQCROT12AB017ECA2,"Captain_ My Captain",Avalanche,"I_ Synthesist",2003
SOHBAMW12AF72A0AA9,"Home In Your Heart","Joyful Noise","Derek Trucks;Solomon Burke",0
SOHTYTP12AB0185CA1,Pourquoi,Silence,"Anael Miller",0
SOGTNHX12AB0180BF0,"Sold Out Of Love","Sold Out Of Love","New York Rel-X",2005
SODHRTM12A8C13B611,"He's So Brave","Listen To My Shapes",Sensations,2005
SODOHGX12A8C13ECBA,"Rave Up",Girltalk,"Bad Dreams Fancy Dress",1989
SOPWMAB12A58A7E8E9,"02.17 AM","Sweep Of Days","Blue Foundation",2004
SOMVWIV12A8C133D30,"She's Alright","Grown Up Wrong","The Real Kids",1977
SOGKDCA12A8C141C21,"The Itsy Bitsy Spider","Dora The Explorer","Dora The Explorer",0
SOCPXYM12A8C143BEF,Mirage,FOCUSED,"Billy Cobham",1998
SOJDCGI12A8C137434,"How Great Is Our King","Live 2005",EM1,2005
SOBLOFA12A8C140408,Battery,"And Christmas For All! The Holiday Tribute to Metallica","Santa Claws and the Naughty But Nice Orchestra",2007
SOHNFBA12AB018CD1D,"Black Gold","Total Life Forever",Foals,2010
SOYBKBM12AB018577C,"Mary Beth","The Solo Recordings [1971-1972]","Peter Yarrow",0
SOLOWYB12A6D4FBD7F,"Walk In Holy Ghostwood/Time's Going On","Who Set That Fire","Lird Van Goles",2007
SOAUZXN12AB0184076,"When You're Sick With The Blues","Honey Babe Let The Deal Go Down: The Best Of Mississippi Sheiks","Mississippi Sheiks",1994
SOQXRDM12AAF3B4503,"Snowflakes (VeebeeO Remix)",Snowflakes,"Jessica Folcker",0
SOZUWRR12A8AE48107,Traktor,"25 let","Visaci Zamek",1995
SOEFBBG12AB0183691,"I Can't Take The Runnings Ina Babylon - Original","Buro's Jolly Bus",BuRo,0
SOCXZRM12A8C141BDE,"Smilin'","My World","Bryn Christopher",2008
SOBGXZN12AB0188FBD,"Atrevida Bandolera","12 Discipulos",Voltio,0
SOTGSQM12A8C13835E,"Distorted Minds","You Don't Know - Ninja Cuts","Hexstatic feat. Juice Aleem",0
SOWTTWF12AB017E12A,"Esa Cancion Nos Salvo","Manual de redencion",Travolta,0
SOTCVEA12A6D4F9DBF,"Trend / Sprengkörper (Medley) (Live)","Mediengruppe Telekommander Live In München am 23.04.2006 (Bavarian Open Sessions - Bayerischer Rundfunk / Zündfunk)","Mediengruppe Telekommander",0
SORGHYR12AB017F847,"The Unbeliever","The Sun & Earth","Middle Distance Runner",0
SOSTUZH12AB0181789,"Paper Doll","The 80's EP","Denison Witmer",0
SOQAQDK12A8C138F81,"Gotta Go Home","20th Century Hits","Boney M. 2000",1999
SOKGEOT12AB01815B2,"Gypsy Eyes","You Break It...You Bought It!","Michael Stanley Band",1975
SOKFJOP12AB018B475,"Valse Lente","Rossini's La Boutique Fantasque_ Dukas's The Sorcerer's Apprentice And Ibert's Divertissement","Boston Pops Orchestra",0
SOXXSGK12AB0182E1B,Three,Gymnasia,"The Show is the Rainbow",0
SOEMJOV12A8C14238E,Gridlock,"Escalation of Hostility","Kill The Client",2005
SOCMMIU12AC4689787,"White Baby","Swan Song","Giant Drag",2010
SOJEZBM12A6D4FEA96,"A Hole In The World (Album Version)","Full Collapse",Thursday,2001
SOFKPCM12AC468BF72,"The Journey","Love & Peace","Lisa Lynne and Georege Tortorelli",0
SOCYOVS12A8C13E8E6,"That's Why I'm Leaving",THEGETDOWNSYNDROME,"The Peelers",0
SOEPILV12AC4688560,"Your Heart's Not In It","The Very Best of Janie Fricke","Janie Fricke",1993
SOCQZNO12AAF3B39B3,"La Inseminacion","10 De Colección","Johnny Ventura",0
SOQKUKI12A8C13EF23,"Willie Barcena","The Hot & Spicy Mamitas","Willie Barcena",0
SOCPWEP12A8C142FD2,"This Time It's Real","The Extended Mix","Miquel Brown",0
SODFUXQ12AB017E9B1,"Final Promise (World)",Paradox,Davol,0
SOAFVYC12A8C1345AD,"Stand Alone (Album Version)","Born Into This","The Cult",2007
SOEZDDV12AAF3B542B,"If I Get to the Borderline","Cancer And Delirium","J. Tillman",2008
SODLGWH12A8C138C4E,"Hit Medley Part Three","The Best Of Vol. IV - The Megamixes",Arabesque,0
SOYKXMF12A58A79AE4,"How You Livin? f/J-Live & Grap Luva & Sondia","48 Months","Asheru And Blue Black Of The Unspoken Heard",0
SOYKGFJ12AB017F70D,Insomnomaniac,Compass,"Joshua Redman",2009
SOKUUYU12A58A78722,"Tonight Will Be Fine","Leonard Cohen Live at the Isle of Wight 1970","Leonard Cohen",1969
SOFQQBH12A81C233BF,"Straighten Up And Fly Right  (LP Version)","'Round Midnight With Nelson Riddle And His Orchestra","Linda Ronstadt",0
SOJDHCI12A6D4FB41A,"Will You Not Listen?","The Word","Michael Card",0
SOCFDRD12AB0186D29,"Kallisti  Song For Eris","Below & Beyond",Floor,0
SOGNPSG12A58A7BB21,"Country Boogie Fever","Guitar Boogie Fever","Eddie Jones",0
SOWSOVJ12A8C13A8C1,"Zuviel Hitze",Einzelhaft,Falco,1982
SOYONIC12A58A7CA3B,"Bunion Blues","Chicken Minnie","Lighnin' Hopkins",0
SOVAEIR12A58291141,"Se Fosse Adesso","Canzoni Allo Specchio",Perturbazione,2005
SOKVLUT12A6D4F79FC,"Please Set Me At Ease","Blue Break Beats","Bobbi Humphrey",1975
SORQMDL12A8C137A9B,"What Would You Do?","Cabaret: The New Broadway Cast Recording","Mary Louise Wilson",0
SOMEUWT12A6D4F95F3,"Killers And Killed","Evil Unleashed","Angelus Apatrida",2006
SOALSHB12A6D4FA1A7,"No Doubt About It  (Miracle Album Version)",Miracle,"The Clark Sisters",0
SOKJXHM12A81C20461,Pantomime,"Yes Yes Vindictive","Operator Please",2007
SOQSVGM12A8C137AFD,"Beautiful Noise","Beautiful Noise","Spencer Parker",2006
SOOWLIH12AB0186B40,"Nine Million Bicycles","Live at The O2 Arena","Katie Melua",2005
SOJWNMK12A6D4FB0D2,"Call Me (Album Version)","The Sound of Madness",Shinedown,2008
SOSEDAW12A6701C8BB,"Do You Know","Wake Up And Smell The Coffee","The Cranberries",2001
SOPAHUX12A8C13B449,"La titimania","Van Van 30 Aniversario. Vol. 1 (30 Year Anniversary)","Juan Formell y los Van Van",1988
SOZAYJX12A8AE49C6D,Vacuum,Cocotte,"Teenage Bad Girl",2007
SOAMIZM12A8C13E708,"Sä","Onnelliset Kohtaa","Scandinavian Music Group",2002
SOPABSR12A8C13C8A7,"You Win Again",Timeless,"Martina McBride",2005
SOSZNRJ12A8AE46E38,"Anyone Else But You","Juno - Music From The Motion Picture","Michael Cera & Ellen Page",2007
SOFQWCL12A6BD55659,"Maia Sterling","ROBOTECH: The Shadow Chronicles","Scott Glasgow",2007
SOVNWTC12AB018C62F,"Wanna Be (Explicit Album Version)","Uni5: The World's Enemy","Bone Thugs-N-Harmony",0
SOXZZZU12A8C133278,"The Rain","The Rain","Lou Rhodes",2007
SOPALIG12A8C132282,"Shake It Up",Scarface,"Elizabeth Daily",0
SOUMDFS12A8C144D19,"I Cry (LP Version)","We Will Stand / Yesterday And Today","Russ Taff",0
SOVOTNO12A8AE46E42,"Major Tom '94(English Version)","Major Tom'94(English Version)","Peter Schilling & Boom-Bastic",0
SOEWZVL12A8C138EFA,"Who I Am",Afrodisiac,Brandy,2004
SOUDJLU12AAF3B40A1,"Escape From Rome","Escape From Rome","Cricco Castelli",0
SODFROX12AB01860B1,Strikethrough,"Past Revisited EP","Peter Van Hoesen",0
SOLAEZP12A8C13C777,Henrieta,"The Green Owl Comp: A Benefit For The Energy Action Coalition","Harper Simon",2008
SOXGHFU12A8C14412F,"Your Arms Feel Like Home","Where My Christmas Lives","3 Doors Down",2008
SOGZDOC12A8C13CD92,"Midnight Birds (Sa Ra Remix)","Blue Note Trip 5:Scrambled / Mashed","Medeski_ Martin & Wood/Sa Ra Creative Partners",2006
SOCQXCS12A67ADA4EA,"Telegram för en tennsoldat",Live,"Cornelis Vreeswijk",1966
SOHEYSW12A67AD9084,"Never Met A German","Talk To La Bomb","Brazilian Girls",2006
SOOEJNF12AB0188BF3,"Stones You Throw","Anthology Of Releases: 2004 - 2005","Career Suicide",0
SOOVZCN12A58A7902F,Solaris,Solaris,Photek,2000
SOBYOOS12AC46872DA,Oriente,"A Arte De Gilberto Gil","Gilberto Gil",1972
SOODZSU12A58A776BB,"Perverted Eyelash","Elephant Jokes","Robert Pollard",2009
SOTBWWE12A6D4FA3AA,"Eye Spy","When It Falls","The Race",0
SOIRHYR12A6D4FB8B5,"Tiempo Al Tiempo","Mi Mundo","Marta Sanchez",0
SOXNKBO12A58A78BD8,"Out Of My Head","Come Clean","Puddle Of Mudd",2001
SODPAMX12A58A7DE00,"Knives and Faces","Raging Speedhorn","Raging Speedhorn",0
SOIPAKB12A8C13B132,"Itoshii Toki",Murasaki.,"Rie Tomosaka",0
SOIQGUI12A8C142E46,Suzanne,"Live In London","Leonard Cohen",1967
SOVVEEM12A81C20140,"Pump Up The Electro Volume",Hypnotized,DaVIP,0
SODCNFA12AC907589D,"Telze'",Aerobica,"Max Brannslokker",0
SOXDDXC12AB0188CB6,"Don't Stop Honey (feat. Cedric Burnside)","Come On In","R.L. Burnside",1998
SOSPCLU12A8C136D27,"Scream My Name","Back Against The Wall","Chaka Demus & Pliers",0
SOTOPUO12AB0185CA5,"Girl's Got Rhythm","The Screaming Cat","Omar & The Howlers",0
SOUYAAO12A58A77683,"I Do It For Your Love","The Lovers_ the Dreamers and Me","Jane Monheit",2008
SODAJTJ12AB0185735,"All I Need (Key-Ab-Premiere Performance Plus)","All I Need (Premiere Performance Plus Track)","Bethany Dillon",0
SOEEWIZ12AB0182B09,"Beyond the Borders of Sanity","PROSE EDDA",YGGDRASIL,0
SOARHKB12AB0189EEA,"Microphone Check","Illegal Substance","Illegal Substance",0
SOBUMNM12AB01882B0,"Arruyo de Dios","Infancia Olvidada","María Dolores Pradera / Amaya Uranga",0
SOALJJL12AB0188822,Corcovado,"Bossa for Two Guitars - Experience Bossa Lounge","P & Q",0
SOSCWAI12AB018D4A9,"Blow Up",Template,Popsicle,2005
SOMKACM12A8C13FE16,"Music Is My Business","Music Is My Business","Roosevelt Sykes",0
SOPTTTV12AB0182842,Tonight,"Songs From An Engineer's Daughter","June Star",0
SOVGHLF12A58A7DE10,"Your Sweet Love","True To Yourself","Albert Cummings",2004
